user_id,handle,creation_date,followers,following,posts_total,has_photo,bio_len,utc_offset
u0000,priya,2018-06-23,1848,172,3408,1,149,1
u0001,nina_,2023-11-10,2777,134,3089,1,107,1
u0002,aisha.lena,2019-06-16,1595,751,2329,1,21,-5
u0003,arjun_,2024-07-07,3052,393,6915,1,78,-5
u0004,emma.,2018-10-25,3806,418,8895,1,152,1
u0005,tom84,2019-04-15,3778,176,8729,1,45,1
u0006,mariaemma,2024-08-17,3478,640,2131,1,108,0
u0007,paulleon,2023-11-16,1483,549,3536,1,86,5
u0008,tom_3,2018-12-06,2539,275,1948,1,71,2
u0009,ines,2024-09-08,1071,705,15624,1,150,1
u0010,omar_,2020-09-25,544,376,739,1,160,2
u0011,janjan,2023-01-30,1969,315,15956,1,64,2
u0012,ines_,2022-12-03,3551,392,13929,1,115,0
u0013,priya,2018-02-04,2056,226,6282,1,147,0
u0014,julia,2020-09-04,784,801,7795,1,52,0
u0015,noah_maria,2023-11-29,4461,92,10326,1,24,1
u0016,max,2024-04-20,691,459,19175,1,154,2
u0017,tompaul,2020-07-09,4632,132,2450,1,147,1
u0018,omar86,2018-10-15,868,167,8716,1,39,1
u0019,leon.,2023-05-14,776,679,13929,1,80,1
u0020,lucas.emma,2021-11-27,3639,594,14064,1,153,1
u0021,lucas.lena,2024-10-20,4546,181,14133,1,42,1
u0022,julia_,2021-09-06,1351,849,5851,1,115,1
u0023,emma.,2022-08-28,3875,257,6589,1,127,1
u0024,lena.arjun,2022-07-08,4412,369,954,1,39,1
u0025,nina_94,2018-12-16,4986,553,3839,1,108,2
u0026,ninatom,2021-07-25,2591,709,4133,1,86,2
u0027,emma.73,2018-01-19,4508,883,63,1,87,1
u0028,paul_noah,2020-06-07,3896,842,5610,1,31,1
u0029,ines.99,2022-11-26,3415,674,18913,1,59,-5
u0030,julia,2025-01-31,3826,713,17454,1,153,2
u0031,leonleon,2020-08-07,3989,671,7889,1,80,0
u0032,sofia_tom,2022-06-11,680,171,4992,1,69,0
u0033,paul_8,2019-07-25,3210,818,19189,1,15,5
u0034,tom.arjun,2021-04-15,1372,890,15365,1,42,2
u0035,max.,2021-03-25,3531,168,15178,1,56,1
u0036,jan_,2022-10-26,2886,259,2298,1,20,5
u0037,noah,2022-11-16,1054,514,3798,1,154,1
u0038,noah,2021-03-14,2490,900,19724,1,40,5
u0039,julia_,2021-10-02,4164,693,11231,1,13,5
