source,target,type
u9001,u9000,repost
u9002,u9000,repost
u9002,u9001,repost
u9003,u9000,repost
u9003,u9002,repost
u9003,u9001,repost
u9004,u9000,repost
u9004,u9002,repost
u9004,u9003,repost
u9005,u9000,repost
u9005,u9004,repost
u9005,u9003,repost
u9005,u9001,repost
u9006,u9000,repost
u9006,u9003,repost
u9006,u9005,repost
u9006,u9001,repost
u9007,u9000,repost
u9007,u9001,repost
u9007,u9002,repost
u9007,u9006,repost
u9008,u9000,repost
u9008,u9002,repost
u9008,u9004,repost
u9009,u9000,repost
u9009,u9003,repost
u9009,u9005,repost
u9009,u9001,repost
u9010,u9000,repost
u9010,u9006,repost
u9010,u9008,repost
u9010,u9005,repost
u9011,u9000,repost
u9011,u9006,repost
u9011,u9008,repost
u9011,u9001,repost
u9012,u9000,repost
u9012,u9009,repost
u9012,u9007,repost
u9012,u9004,repost
u9013,u9000,repost
u9013,u9002,repost
u9013,u9009,repost
u9013,u9011,repost
u9014,u9000,repost
u9014,u9001,repost
u9014,u9010,repost
u9014,u9011,repost
u9015,u9000,repost
u9015,u9004,repost
u9015,u9011,repost
u9016,u9000,repost
u9016,u9002,repost
u9016,u9014,repost
u9016,u9010,repost
u9017,u9000,repost
u9017,u9008,repost
u9017,u9013,repost
u9017,u9004,repost
u9018,u9000,repost
u9018,u9004,repost
u9018,u9012,repost
u9018,u9015,repost
u9019,u9000,repost
u9019,u9006,repost
u9019,u9018,repost
u9019,u9015,repost
u9020,u9000,repost
u9020,u9008,repost
u9020,u9019,repost
u9020,u9018,repost
u9021,u9000,repost
u9021,u9020,repost
u9021,u9001,repost
u9021,u9017,repost
u9022,u9000,repost
u9022,u9017,repost
u9022,u9018,repost
u9022,u9019,repost
u9023,u9000,repost
u9023,u9008,repost
u9023,u9009,repost
u9023,u9010,repost
u9024,u9000,repost
u9024,u9016,repost
u9024,u9023,repost
u9024,u9019,repost
u9025,u9000,repost
u9025,u9011,repost
u9025,u9012,repost
u9025,u9014,repost
u9026,u9000,repost
u9026,u9018,repost
u9026,u9019,repost
u9026,u9005,repost
u9027,u9000,repost
u9027,u9008,repost
u9027,u9014,repost
u9027,u9010,repost
u9028,u9000,repost
u9028,u9009,repost
u9028,u9003,repost
u9028,u9013,repost
u9029,u9000,repost
u9029,u9018,repost
u9029,u9020,repost
u9029,u9024,repost
u9030,u9000,repost
u9030,u9022,repost
u9030,u9014,repost
u9030,u9012,repost
u9031,u9000,repost
u9031,u9026,repost
u9031,u9015,repost
u9031,u9020,repost
u9032,u9000,repost
u9032,u9004,repost
u9032,u9016,repost
u9032,u9010,repost
u9033,u9000,repost
u9033,u9014,repost
u9033,u9017,repost
u9033,u9031,repost
u9034,u9000,repost
u9034,u9004,repost
u9034,u9019,repost
u9034,u9013,repost
u9035,u9000,repost
u9035,u9024,repost
u9035,u9007,repost
u9035,u9002,repost
u9036,u9000,repost
u9036,u9012,repost
u9036,u9013,repost
u9036,u9033,repost
u9037,u9000,repost
u9037,u9011,repost
u9037,u9002,repost
u9037,u9023,repost
u9038,u9000,repost
u9038,u9002,repost
u9038,u9036,repost
u9038,u9018,repost
u9039,u9000,repost
u9039,u9015,repost
u9039,u9027,repost
u9039,u9016,repost
u9040,u9000,repost
u9040,u9009,repost
u9040,u9038,repost
u9040,u9035,repost
u0103,u9000,repost
u0070,u9000,repost
u0158,u9000,repost
u0268,u9000,repost
u0069,u9000,repost
u0220,u9000,repost
u0074,u9000,repost
u0289,u9000,repost
u0080,u9000,repost
u0162,u9000,repost
u0034,u9000,repost
u0285,u9000,repost
u0272,u9000,repost
u0060,u9000,repost
u0094,u9000,repost
u0015,u9000,repost
u0163,u9000,repost
u0211,u9000,repost
u0210,u9000,repost
u0155,u9000,repost
u0226,u9000,repost
u0140,u9000,repost
u0077,u9000,repost
u0096,u9000,repost
u0054,u9000,repost
u0209,u0007,repost
u0138,u0211,repost
u0113,u0103,repost
u0104,u0033,repost
u0090,u0224,repost
u0250,u0166,repost
u0234,u0126,repost
u0218,u0207,repost
u0021,u0194,repost
u0160,u0201,repost
u0292,u0274,repost
u0268,u0019,repost
u0266,u0055,repost
u0231,u0233,repost
u0021,u0125,repost
u0265,u0275,repost
u0202,u0020,repost
u0285,u0198,repost
u0264,u0025,repost
u0097,u0149,repost
u0225,u0203,repost
u0155,u0146,repost
u0236,u0085,repost
u0216,u0150,repost
u0027,u0264,repost
u0072,u0237,repost
u0231,u0046,repost
u0256,u0057,repost
u0092,u0299,repost
u0279,u0069,repost
u0201,u0211,repost
u0165,u0230,repost
u0012,u0091,repost
u0232,u0103,repost
u0232,u0046,repost
u0128,u0165,repost
u0083,u0063,repost
u0046,u0058,repost
u0230,u0185,repost
u0043,u0268,repost
u0196,u0261,repost
u0081,u0193,repost
u0281,u0194,repost
u0022,u0087,repost
u0171,u0289,repost
u0076,u0083,repost
u0074,u0091,repost
u0026,u0214,repost
u0157,u0158,repost
u0228,u0147,repost
u0092,u0060,repost
u0067,u0103,repost
u0001,u0129,repost
u0006,u0234,repost
u0254,u0255,repost
u0278,u0002,repost
u0252,u0121,repost
u0111,u0243,repost
u0232,u0209,repost
u0226,u0040,repost
u0003,u0125,repost
u0280,u0142,repost
u0285,u0106,repost
u0025,u0094,repost
u0075,u0028,repost
u0178,u0018,repost
u0074,u0016,repost
u0295,u0152,repost
u0169,u0044,repost
u0025,u0055,repost
u0213,u0091,repost
u0082,u0145,repost
u0293,u0287,repost
u0090,u0233,repost
u0296,u0184,repost
u0018,u0047,repost
u0153,u0165,repost
u0188,u0194,repost
u0034,u0218,repost
u0281,u0033,repost
u0149,u0241,repost
u0068,u0062,repost
u0140,u0168,repost
u0269,u0211,repost
u0268,u0107,repost
u0107,u0029,repost
u0055,u0292,repost
u0270,u0044,repost
u0247,u0147,repost
u0218,u0162,repost
u0132,u0269,repost
u0294,u0181,repost
u0066,u0288,repost
u0254,u0266,repost
u0254,u0252,repost
u0092,u0119,repost
u0148,u0099,repost
u0000,u0060,repost
u0012,u0238,repost
u0060,u0106,repost
u0212,u0211,repost
u0023,u0170,repost
u0179,u0286,repost
u0108,u0005,repost
u0103,u0144,repost
u0130,u0034,repost
u0157,u0153,repost
u0259,u0281,repost
u0165,u0003,repost
u0058,u0170,repost
u0174,u0202,repost
u0291,u0014,repost
u0089,u0099,repost
u0169,u0173,repost
u0245,u0242,repost
u0018,u0069,repost
u0246,u0079,repost
u0235,u0274,repost
u0171,u0236,repost
u0211,u0028,repost
u0266,u0153,repost
u0289,u0161,repost
u0284,u0274,repost
u0009,u0106,repost
u0295,u0169,repost
u0181,u0033,repost
u0076,u0143,repost
u0015,u0173,repost
u0192,u0273,repost
u0084,u0292,repost
u0199,u0095,repost
u0059,u0157,repost
u0161,u0016,repost
u0139,u0211,repost
u0044,u0254,repost
u0121,u0190,repost
u0231,u0154,repost
u0110,u0268,repost
u0154,u0089,repost
u0057,u0191,repost
u0019,u0103,repost
u0047,u0227,repost
u0259,u0012,repost
u0247,u0256,repost
u0078,u0097,repost
u0174,u0247,repost
u0268,u0158,repost
u0167,u0073,repost
u0050,u0264,repost
u0067,u0105,repost
u0018,u0235,repost
u0198,u0267,repost
u0059,u0002,repost
u0159,u0022,repost
u0044,u0170,repost
u0239,u0023,repost
u0052,u0266,repost
u0159,u0011,repost
u0295,u0159,repost
u0107,u0164,repost
u0102,u0098,repost
u0146,u0141,repost
u0272,u0163,repost
u0225,u0060,repost
u0139,u0076,repost
u0080,u0140,repost
u0058,u0007,repost
u0286,u0263,repost
u0052,u0105,repost
u0277,u0179,repost
u0281,u0163,repost
u0138,u0072,repost
u0145,u0293,repost
u0125,u0087,repost
u0036,u0159,repost
u0173,u0276,repost
u0227,u0025,repost
u0066,u0014,repost
u0241,u0025,repost
u0054,u0196,repost
u0027,u0044,repost
u0218,u0200,repost
u0091,u0228,repost
u0182,u0159,repost
u0170,u0101,repost
u0273,u0040,repost
u0238,u0290,repost
u0067,u0047,repost
u0239,u0049,repost
u0233,u0158,repost
u0238,u0240,repost
u0118,u0114,repost
u0073,u0132,repost
u0186,u0200,repost
u0093,u0169,repost
u0166,u0232,repost
u0249,u0015,repost
u0033,u0243,repost
u0057,u0179,repost
u0245,u0236,repost
